url;claim;rating;translated;year
https://eufactcheck.eu/factcheck/mostly-true-wages-grew-more-than-prices-in-countries-that-introduced-the-euro/;Wages grew more than prices in countries that introduced the euro;MOSTLY TRUE;;2022
https://eufactcheck.eu/factcheck/mostly-false-the-2022-fifa-world-cup-in-qatar-is-fully-carbon-neutral/;The 2022 FIFA World Cup in Qatar is fully carbon-neutral;MOSTLY FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-true-eu-now-spends-three-times-more-than-russia-on-defence/;EU now spends three times more than Russia on defence;MOSTLY TRUE;;2022
https://eufactcheck.eu/factcheck/false-the-eu-has-not-fulfilled-its-role-as-a-guarantor-and-sponsor-of-the-brussels-agreement/;The EU has not fulfilled its role as a guarantor and sponsor of the Brussels Agreement;FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-false-herd-immunity-in-germany-has-already-been-reached/;Herd immunity in Germany has already been reached;MOSTLY FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-false-keep-migrants-out-of-the-uk-by-leaving-the-un-1951-convention/;Keep migrants out of the UK by leaving the UN-1951 convention;MOSTLY FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-false-without-the-dissenting-votes-of-the-afd-a-vaccine-mandate-would-have-been-introduced-in-germany/;Without the dissenting votes of the AfD, a vaccine mandate would have been introduced in Germany;MOSTLY FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-false-most-of-wallonia-and-some-of-flanders-are-depleting-their-renewable-water-resources-at-the-highest-rate-in-northern-europe/;Most of Wallonia and some of Flanders, are depleting their renewable water resources at the highest rate in northern Europe;MOSTLY FALSE;;2022
https://eufactcheck.eu/factcheck/mostly-true-diverse-teams-work-better-in-times-of-crisis/;diverse teams work better in times of crisis;MOSTLY TRUE;;2022
https://eufactcheck.eu/factcheck/mostly-false-the-belgian-labor-market-does-not-need-immigrant-workers/;The Belgian labor market does not need immigrant workers;MOSTLY FALSE;;2022
